route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accesible,bikes_allowed,jp_trip_desc,jp_trip_desc_symbol
flatbus3,全日,flatbus3_全日_19,材木ルート,,1,flatbus3_全日_22,,,,,
flatbus3,全日,flatbus3_全日_20,材木ルート,,1,flatbus3_全日_23,,,,,
flatbus3,全日,flatbus3_全日_21,材木ルート,,1,flatbus3_全日_24,,,,,
flatbus3,全日,flatbus3_全日_22,材木ルート,,1,flatbus3_全日_25,,,,,
flatbus3,全日,flatbus3_全日_23,材木ルート,,1,flatbus3_全日_26,,,,,
flatbus3,全日,flatbus3_全日_24,材木ルート,,1,flatbus3_全日_27,,,,,
flatbus3,全日,flatbus3_全日_25,材木ルート,,1,flatbus3_全日_28,,,,,
flatbus3,全日,flatbus3_全日_26,材木ルート,,1,flatbus3_全日_29,,,,,
flatbus3,全日,flatbus3_全日_27,材木ルート,,1,flatbus3_全日_30,,,,,
flatbus3,全日,flatbus3_全日_28,材木ルート,,1,flatbus3_全日_31,,,,,
flatbus3,全日,flatbus3_全日_29,材木ルート,,1,flatbus3_全日_32,,,,,
flatbus3,全日,flatbus3_全日_30,材木ルート,,1,flatbus3_全日_33,,,,,
flatbus3,全日,flatbus3_全日_31,材木ルート,,1,flatbus3_全日_34,,,,,
flatbus3,全日,flatbus3_全日_32,材木ルート,,1,flatbus3_全日_35,,,,,
flatbus3,全日,flatbus3_全日_33,材木ルート,,1,flatbus3_全日_36,,,,,
flatbus3,全日,flatbus3_全日_34,材木ルート,,1,flatbus3_全日_37,,,,,
flatbus3,全日,flatbus3_全日_35,材木ルート,,1,flatbus3_全日_38,,,,,
flatbus3,全日,flatbus3_全日_36,材木ルート,,1,flatbus3_全日_39,,,,,
flatbus3,全日,flatbus3_全日_37,材木ルート,,1,,,,,,
flatbus3,全日,flatbus3_全日_38,材木ルート,,1,,,,,,
flatbus3,全日,flatbus3_全日_39,材木ルート,,1,,,,,,
flatbus4,全日,flatbus4_全日_01,長町ルート,,1,flatbus4_全日_04,,,,,
flatbus4,全日,flatbus4_全日_02,長町ルート,,1,flatbus4_全日_05,,,,,
flatbus4,全日,flatbus4_全日_03,長町ルート,,1,flatbus4_全日_06,,,,,
flatbus4,全日,flatbus4_全日_04,長町ルート,,1,flatbus4_全日_07,,,,,
flatbus4,全日,flatbus4_全日_05,長町ルート,,1,flatbus4_全日_08,,,,,
flatbus4,全日,flatbus4_全日_06,長町ルート,,1,flatbus4_全日_09,,,,,
flatbus4,全日,flatbus4_全日_07,長町ルート,,1,flatbus4_全日_10,,,,,
flatbus4,全日,flatbus4_全日_08,長町ルート,,1,flatbus4_全日_11,,,,,
flatbus4,全日,flatbus4_全日_09,長町ルート,,1,flatbus4_全日_12,,,,,
flatbus4,全日,flatbus4_全日_10,長町ルート,,1,flatbus4_全日_13,,,,,
flatbus4,全日,flatbus4_全日_11,長町ルート,,1,flatbus4_全日_14,,,,,
flatbus4,全日,flatbus4_全日_12,長町ルート,,1,flatbus4_全日_15,,,,,
flatbus4,全日,flatbus4_全日_13,長町ルート,,1,flatbus4_全日_16,,,,,
flatbus4,全日,flatbus4_全日_14,長町ルート,,1,flatbus4_全日_17,,,,,
flatbus4,全日,flatbus4_全日_15,長町ルート,,1,flatbus4_全日_18,,,,,
flatbus4,全日,flatbus4_全日_16,長町ルート,,1,flatbus4_全日_19,,,,,
flatbus4,全日,flatbus4_全日_17,長町ルート,,1,flatbus4_全日_20,,,,,
flatbus4,全日,flatbus4_全日_18,長町ルート,,1,flatbus4_全日_21,,,,,
flatbus4,全日,flatbus4_全日_19,長町ルート,,1,flatbus4_全日_22,,,,,
flatbus4,全日,flatbus4_全日_20,長町ルート,,1,flatbus4_全日_23,,,,,
flatbus4,全日,flatbus4_全日_21,長町ルート,,1,flatbus4_全日_24,,,,,
flatbus4,全日,flatbus4_全日_22,長町ルート,,1,flatbus4_全日_25,,,,,
flatbus4,全日,flatbus4_全日_23,長町ルート,,1,flatbus4_全日_26,,,,,
flatbus4,全日,flatbus4_全日_24,長町ルート,,1,flatbus4_全日_27,,,,,
flatbus4,全日,flatbus4_全日_25,長町ルート,,1,flatbus4_全日_28,,,,,
flatbus4,全日,flatbus4_全日_26,長町ルート,,1,flatbus4_全日_29,,,,,
flatbus4,全日,flatbus4_全日_27,長町ルート,,1,flatbus4_全日_30,,,,,
flatbus4,全日,flatbus4_全日_28,長町ルート,,1,flatbus4_全日_31,,,,,
flatbus4,全日,flatbus4_全日_29,長町ルート,,1,flatbus4_全日_32,,,,,
flatbus4,全日,flatbus4_全日_30,長町ルート,,1,flatbus4_全日_33,,,,,
flatbus4,全日,flatbus4_全日_31,長町ルート,,1,flatbus4_全日_34,,,,,
flatbus4,全日,flatbus4_全日_32,長町ルート,,1,flatbus4_全日_35,,,,,
flatbus4,全日,flatbus4_全日_33,長町ルート,,1,flatbus4_全日_36,,,,,
flatbus4,全日,flatbus4_全日_34,長町ルート,,1,flatbus4_全日_37,,,,,
flatbus4,全日,flatbus4_全日_35,長町ルート,,1,flatbus4_全日_38,,,,,
flatbus4,全日,flatbus4_全日_36,長町ルート,,1,flatbus4_全日_39,,,,,
flatbus4,全日,flatbus4_全日_37,長町ルート,,1,,,,,,
flatbus4,全日,flatbus4_全日_38,長町ルート,,1,,,,,,
flatbus4,全日,flatbus4_全日_39,長町ルート,,1,,,,,,
